     0      4      0
     4      8      0
     8     12      2
    12     16      1
    16     20      6
    20     24      2
    24     28      0
    28     32      6
    32     36      1
    36     40      0
    40     44      9
    44     48     15
    48     52     25
    52     56     21
    56     60     25
    60     64     33
    64     68     39
    68     72     39
    72     76     28
    76     80     20
    80     84     10
    84     88      9
    88     92      3
    92     96      5
    96    100      1
